id;debut;fin;titre;categorie;description;precision;duree;type;source;source_complementaire;precision_fin;source_fin;note_dates
rois-017;-951;-940;Règne d’Omri — total;Israël · 10 tribus;Royauté d’abord contestée par Tibni, puis exclusive.;vers;12 ans (dont 4 ans de rivalité);Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;vers;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;"Règne total d’Omri. Borne finale rattachée à la succession d’Achab, datée vers 940 dans A6 ; raccord chronologique."
rois-018;-951;-947;Règne de Tibni — rival d’Omri;Israël · 10 tribus;"Deux prétendants soutenus par des camps rivaux ; il ne s’agit pas d’un gouvernement commun.";vers;4 ans (phase de rivalité);Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Omri/;Fin de la rivalité datée dans la notice Omri.
rois-019;-947;-940;Règne exclusif d’Omri;Israël · 10 tribus;Nouvelle phase de la royauté d’Omri après la rivalité.;vers;8 ans (seul);Royauté exclusive;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;"Phase exclusive. Borne finale rattachée à la succession d’Achab, datée vers 940 dans A6 ; raccord chronologique."
rois-020;-940;-920;Règne d’Achab;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;22 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Am%C3%B4n/;La notice Amôn, no 1, indique la période approximative du règne d’Achab.
rois-021;-937;-911;Règne de Josaphat;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;25 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;"Le repère A6 commence en 937 ; l’index Dates situe la fin en 911. La royauté partagée de Joram commence avant cette fin."
rois-022;-920;-917;Règne d’Ochozias — Israël;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;2 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;"Borne finale rattachée à la succession de Joram, datée vers 917 dans A6 ; raccord chronologique."
rois-023;-917;-905;Règne de Joram — Israël;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;12 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Fin datée vers 905 dans l’index Dates.
rois-024;-913;-906;Règne de Joram — Juda;Juda · 2 tribus;Début comprenant une royauté partagée avec son père Josaphat.;année;8 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;"Borne finale située à la succession d’Ochozias, datée vers 906 dans A6 ; raccord chronologique entre ces deux repères."
rois-025;-906;-905;Règne d’Ochozias — Juda;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;1 an;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Fin datée vers 905 dans l’index Dates.
rois-026;-905;-899;Règne d’Athalie;Juda · 2 tribus;Reine incluse dans la succession des souverains de Juda.;vers;6 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Athalie/;"Fin approximative indiquée dans la notice Athalie ; A6 situe Joas en 898."
rois-027;-905;-877;Règne de Jéhu;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;28 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Y%C3%A9hou/;"A6 place l’onction vers 905 ; la notice Yéhou compte à partir d’environ 904 et indique la fin en 877."
rois-028;-898;-859;Règne de Joas — Juda;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;40 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yehoash/;Période donnée dans la notice Yehoash, no 1.
rois-029;-876;-860;Règne de Joachaz — Israël;Israël · 10 tribus;Règne total de Joachaz sur Israël, comprenant la phase partagée avec Joas.;année;17 ans (dont une phase partagée);Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yehoahaz/;"Règne total, y compris la phase partagée ; fin donnée dans la notice Yehoahaz."
rois-030;-862;-860;Corégence de Joachaz et Joas;Israël · 10 tribus;Le tableau distingue cette phase de la période où chacun règne seul.;vers;3 ans;Corégence;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yehoahaz/;"Début partagé vers 862 selon A6 ; borne finale à la fin du règne de Joachaz, vers 860 selon sa notice. A6 situe Joas seul vers 859."
rois-031;-859;-844;Règne exclusif de Joas — Israël;Israël · 10 tribus;Phase de royauté exclusive après la phase partagée.;vers;16 ans (seul);Royauté exclusive;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;"Borne finale rattachée à la succession de Jéroboam II, datée vers 844 dans A6 ; raccord chronologique."
rois-032;-858;-830;Règne d’Amazia;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;29 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Lakish/;"Fin approximative donnée dans la notice Lakish ; A6 situe Ozias en 829."
rois-033;-844;-803;Règne de Jéroboam II;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;41 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Zekaria/;Fin donnée dans la notice Zekaria, no 14.
rois-034;-829;-778;Règne d’Ozias (Azarias);Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;52 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Ouzziya/;Période explicitement donnée dans la notice Ouzziya.
rois-035;-803;;Premier repère du règne de Zacharie;Israël · 10 tribus;"Premier repère de royauté ; le tableau distingue ensuite son établissement vers 792.";vers;6 mois de règne confirmé;Repère préliminaire;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;;;"Point conservé pour le repère initial incertain ; la période de royauté établie figure séparément."
rois-036;-792;-791;Établissement du règne de Zacharie;Israël · 10 tribus;Le tableau présente cet établissement comme probable, distinct du premier repère.;vers;6 mois de règne confirmé;Établissement du règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Shalloum/;"Borne finale à la succession de Shaloum, datée vers 791 dans sa notice ; six mois seulement de règne confirmé."
rois-037;-791;-791;Règne de Shaloum;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;1 mois;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Shalloum/;"Un mois dans la même année approximative ; la barre marque l’année contenant le règne."
rois-038;-791;-781;Règne de Menahem;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;10 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Menahem/;"A6 situe l’accession vers 791 ; la notice compte à partir d’environ 790 et donne une fin vers 781."
rois-039;-780;-779;Règne de Pekaya;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;2 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Peqahia/;Période approximative explicitement donnée dans la notice Peqahia.
rois-040;-778;-758;Règne de Péka;Israël · 10 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";vers;20 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;"Borne finale rattachée à l’arrivée d’Osée, datée vers 758 dans A6-B ; raccord chronologique."
rois-041;-777;-762;Règne de Jotam;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;16 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yotham/;Période explicitement donnée dans la notice Yotham.
rois-042;-762;-746;Règne d’Achaz;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;16 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Fin donnée dans l’index Dates.
rois-043;-758;;Premier repère du règne d’Osée;Israël · 10 tribus;"Premier repère ; le décompte de neuf ans est rattaché à un établissement ultérieur vers 748.";vers;9 ans, comptés depuis vers 748;Repère préliminaire;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;;;"Point conservé pour le repère initial incertain ; la période de royauté établie figure séparément."
rois-044;-748;-740;Établissement du règne d’Osée;Israël · 10 tribus;Établissement probable de sa royauté ou reconnaissance par le pouvoir assyrien.;vers;9 ans;Établissement du règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Hosh%C3%A9a/;"Borne terminale du royaume. La notice Hoshéa précise que le roi avait été détenu avant la chute de Samarie ; ce n’est pas une date de fin d’exercice personnel attestée au jour près."
rois-045;-746;-717;Règne d’Ézéchias;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;29 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Hizqiya/;"A6 situe l’accession en 746 ; la notice Hizqiya distingue la première année officielle, 745, et la fin, 717."
rois-046;-740;;Chute de Samarie — fin du royaume du Nord;Division et royaumes;Le royaume d’Israël passe sous domination assyrienne.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;;;
rois-047;-716;-662;Règne de Manassé;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;55 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Manass%C3%A9/;Période explicitement donnée dans la notice Manassé.
rois-048;-661;-660;Règne d’Amon;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;2 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Am%C3%B4n/;"Période explicitement donnée dans la notice Amôn ; A6 situe Josias en 659."
rois-049;-659;-629;Règne de Josias;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;31 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1200002525;Fin du règne indiquée dans la notice Yoshiya.
rois-050;-628;-628;Règne de Joachaz — Juda;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;3 mois;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yehoahaz/;"Trois mois dans la même année ; la barre couvre l’année contenant ce bref règne, pas douze mois de royauté."
rois-051;-628;-618;Règne de Joachim;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;11 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yeho%C3%AFaqim/;Période explicitement donnée dans la notice Yehoïaqim.
rois-052;-618;-617;Règne de Joachin;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;3 mois et 10 jours;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Yeho%C3%AFak%C3%AEn/;Fin du règne indiquée dans la notice Yehoïakîn.
rois-053;-617;-607;Règne de Sédécias;Juda · 2 tribus;"Règne dans le royaume indiqué ; les sources du début et de la fin sont précisées ci-dessous.";année;11 ans;Règne;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;année;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;Fin du règne et du royaume du Sud selon A6-B.
rois-054;-607;;Chute de Jérusalem — fin du royaume du Sud;Division et royaumes;La prise de Jérusalem par Babylone met fin à la royauté de Sédécias.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/bible/nwt/appendice-a/rois-de-juda-et-d-israel-2/;;;;
